centriods1,centriods2,centriods3,centriods4,centriods5,centriods6,centriods7,centriods8,centriods9,centriods10,centriods11,centriods12,centriods13,centriods14,centriods15,centriods16,centriods17,centriods18,centriods19,centriods20,centriods21,centriods22,centriods23,centriods24,centriods25,centriods26,centriods27,centriods28,centriods29,centriods30,centriods31,centriods32,centriods33,centriods34,centriods35,centriods36,centriods37,centriods38,centriods39,centriods40,centriods41,centriods42
1560.4707197139,47.3004023245418,1560.49552620366,49.5773327652322,1560.80247969218,48.6874732791791,1560.59637625289,51.8932151117965,1565.02899239544,47.4895437262357,1561.09746672392,49.6006869901245,1565.86749879981,49.6965914546327,1564.99558764541,50.2194143602086,1558.75131264916,41.0601431980907,1569.42382391023,49.5955977557186,1565.63414634146,49.2148217636023,1564.98094481937,51.0587534736006,1568.96852706672,51.0503566932438,1564.87129283041,54.9985603224878,1559.6171056358,51.923251203625,1570.28620689655,53.4413793103448,1566.0214209211,53.7283113173866,1569.55364291433,51.1373098478783,1559.54782608696,40.8441471571906,1558.56421052632,38.7466666666667,1558.313517339,39.3432413305025
812.146777003484,203.455574912892,830.789764281164,201.567636440858,847.5623549272,196.920447351762,936.683897932248,176.417729872415,955.744907407407,169.429398148148,987.742104067257,162.625312428993,1005.21909233177,159.242790073776,1022.01958136394,154.743866756696,420.058794384806,296.8460776218,1039.08823529412,149.528711484594,1055.66905408743,144.428006915288,1071.9565750736,142.304465161923,1090.33607645341,137.324926997611,1125.50561797753,130.429712858926,1147.55188272492,123.020408163265,1163.60292362768,121.665871121718,1183.43738765728,117.055721989215,1217.08194233687,106.294385432473,471.060709998285,284.312467844281,485.715829846583,277.091178521618,501.741807519834,273.500689893067
111.822607260726,379.703465346535,112.321557082107,382.049394831534,112.645619834711,381.295867768595,112.857101280559,384.969295692666,113.746740547588,380.029009126467,113.970477899201,382.541510357201,116.056149306109,383.269101930132,114.83968,383.08672,107.410196445276,373.997037729966,104.222942164627,385.951283897288,114.997700771884,381.968139267532,115.779197670657,384.057910061469,116.062877674343,383.882737220317,115.865024183797,385.945435308343,117.07668461413,383.319138521782,116.448393378773,386.062155144434,118.161781194938,386.021784398526,117.414320585842,383.46493083808,107.323943661972,373.751399966061,106.221976149915,371.422146507666,106.848778004073,371.983876442634
1628.07592891761,538.552988691438,1628.2719665272,540.462021242356,1628.18178887994,539.759548751007,1627.56822612086,540.309941520468,1627.7809261658,537.036593264249,1626.71981223697,538.851408222726,1627.48520806242,539.362158647594,1627.47466188692,539.117321166694,1635.22242503259,537.317731421121,1626.92733789508,538.270120560443,1626.34943875061,537.673011224988,1627.04567779961,539.577930582842,1627.0664924032,539.237706257148,1625.3239945775,540.946377466486,1626.6749550139,538.326680844103,1625.62969617772,540.733420450833,1626.92542706965,540.56291064389,1625.7337704918,537.499836065574,1631.02012695464,536.469112865769,1629.87611848195,534.165535328602,1629.86755583127,534.618331265509
919.370489174018,703.765196471532,936.107427677873,702.16794370602,953.374295554164,697.625860989355,1037.36851738865,678.317724222087,1059.36517032792,671.970869149952,1097.16309366755,666.231365435356,1113.83852403521,662.411306702776,1133.03522012579,658.906132075472,516.309265175719,790.478849840256,1145.17517823367,655.126873272225,1164.11345086516,649.200457068234,1181.99820671666,647.557548092599,1204.05974202308,643.130176510523,1237.42636746143,637.250428549166,1253.435750532,630.550662956294,1265.47643312102,629.38550955414,1282.7514249525,625.671152628246,1320.17629909106,614.513291030698,571.97474591931,777.734986141053,591.990787134314,771.120090512365,614.0168406871,767.851633546649
219.245391233101,861.01167554281,220.105633802817,863.661971830986,219.841713221601,863.83136768053,221.0099979596,867.808814527647,222.485210824418,865.321585903084,222.528842105263,868.326105263158,223.921383647799,869.647798742138,223.045724830839,870.202993643633,209.926303410427,844.59662877303,224.108443882923,869.838071172878,223.944305381727,870.149353358365,224.764323189927,872.653934942287,224.975838367007,873.198083732556,226.697582168493,876.385908575746,227.2447481134,874.326534774628,226.021899304134,877.10724519034,227.514995891537,877.628389482334,227.25651095494,876.064489458454,209.629278794403,845.59203444564,209.214978902954,843.870675105485,209.514353041988,844.892673521851
1706.90226171244,1017.83247172859,1707.15588615783,1020.25485122898,1706.6905908799,1020.04287090559,1707.08733127338,1022.8228980322,1707.34020451225,1020.03457230969,1706.50016270745,1022.91880898145,1707.50695239653,1023.82741698021,1707.61966023421,1024.04189345209,1710.62418869717,1005.8606933671,1707.35570139459,1023.71025430681,1706.80897226754,1023.73425774878,1707.6071311206,1025.74038777522,1707.9242374549,1025.95293538865,1707.50098142836,1028.76747697418,1708.10495436767,1026.36538461538,1707.03928040931,1029.1686746988,1708.29967266776,1029.66792144026,1707.91002315581,1027.53076414158,1708.38474159147,1006.3338802297,1707.27534336167,1004.56344015697,1707.21975348686,1005.63833927992
1016.29208069858,1187.37262872629,1035.70116618076,1185.46443148688,1052.25930372149,1180.70528211285,1136.61637390213,1160.61464868256,1157.22874806801,1152.81406491499,1190.70750674496,1146.1780669735,1208.67236290197,1142.86204753767,1226.23869499241,1138.49514415781,622.587335774284,1278.49278483739,1241.63237723382,1133.34644841568,1261.25459205468,1129.65356685177,1276.06082319613,1125.33977670388,1295.46790923825,1121.39124797407,1330.09187969925,1114.99804511278,1348.21099701888,1107.745279894,1364.33947196871,1106.40775749674,1381.31908001296,1102.25299643667,1412.32688870837,1090.70625507717,674.097005301619,1267.92663705402,690.418799832144,1261.5305637152,707.20525797835,1257.7749191621
318.441274900398,1355.70804780876,319.093626443144,1358.59212399178,319.373973468099,1358.61118130133,318.642744230161,1362.09974707556,319.008451602615,1359.48078456387,318.499033505155,1362.31040592784,319.551626591231,1363.81628162816,319.107830754657,1364.12235554152,324.32615180643,1340.88912827312,318.418832684825,1363.82568093385,319.207604199809,1364.02322621699,318.946231397023,1366.12337974076,319.276535433071,1366.68724409449,320.903879310345,1369.75459770115,319.667791706847,1367.51301832208,317.773978049944,1370.59106091936,319.923294561459,1371.00267211569,318.254192132895,1369.5706002194,326.826140350877,1341.91789473684,326.430355594102,1340.16843018213,326.000351308625,1341.10117688389
1795.38750184665,1532.92509971931,1795.83583061889,1530.91498371336,1794.72964543664,1532.22997373605,1795.43808255659,1536.83322237017,1796.2636409144,1533.74303353913,1795.5787191461,1535.76384256171,1796.45723461799,1536.24306964165,1796.6066263034,1536.13420787084,224.47619047619,1343.41558441558,1796.49140546006,1535.29979777553,1796.12617765814,1534.88139300135,1796.40533288613,1536.9937950696,1797.12137650449,1536.68859128666,1797.1228508909,1538.77383557362,1797.35702170963,1535.89111261872,1796.47106026976,1538.42325422571,1797.35678137652,1538.70141700405,1793.55797967723,1483.90765092648,224.951219512195,1344.4593495935,224.456896551724,1342.44396551724,224.874493927126,1343.32793522267
