centriods1,centriods2,centriods3,centriods4,centriods5,centriods6,centriods7,centriods8,centriods9,centriods10,centriods11,centriods12,centriods13,centriods14,centriods15,centriods16,centriods17,centriods18,centriods19,centriods20,centriods21,centriods22,centriods23,centriods24,centriods25,centriods26,centriods27,centriods28,centriods29,centriods30,centriods31,centriods32,centriods33,centriods34,centriods35,centriods36
339.821011673152,99.6653696498054,353.415458937198,89.4734299516908,366,148.35,382.521613832853,165.132564841499,379.021929824561,145.649122807018,377.408906882591,136.736842105263,370,125.288990825688,366.470588235294,111.981900452489,393.364055299539,144.714285714286,352.009216589862,145.331797235023,379,145.328125,361,151.865168539326,408.904580152672,140.80534351145,393.004587155963,129.348623853211,366,143.871595330739,417.463519313305,131.351931330472,418,125.288990825688,416.387096774194,133.766129032258
215.493827160494,111.885802469136,229.438661710037,100.806691449814,260.93023255814,160.837209302326,277.905292479109,177.754874651811,269.941860465116,159.790697674419,261.544776119403,149.981343283582,251.417021276596,138.391489361702,244.519480519481,124.528138528139,280.503759398496,158.917293233083,238.86301369863,156.270547945205,264.429104477612,156.731343283582,263.052631578947,158.321981424149,298.974545454545,149.356363636364,274.936842105263,139.021052631579,262.977987421384,145.830188679245,316.006993006993,139.13986013986,306.864253393665,133.366515837104,320.985347985348,140.307692307692
165.6,115.211940298507,176.338815789474,104.730263157895,189.980620155039,167.662790697674,206.297752808989,185.061797752809,202.581967213115,166.729508196721,199.870689655172,155.719827586207,192.406698564593,142.421052631579,186.528205128205,128.020512820513,217.007751937984,164.794573643411,174.454545454545,160.854545454545,201.888412017167,160.751072961373,184.017094017094,161.84188034188,230.612903225806,152.766129032258,215,142.371559633028,188.5,145.837837837838,239.504310344828,143.314655172414,239.15444015444,136.683397683398,237,143.69111969112
404.131147540984,158.124590163934,419.311827956989,147.795698924731,434.960451977401,204.906779661017,451.505319148936,220.689716312057,446.594972067039,201.695530726257,445.111111111111,193.850574712644,437.5,181.672131147541,432.375,169.403846153846,461.425149700599,200.74251497006,419.5,203.1,446.511450381679,202.811704834606,426.5,211.94,474.023255813953,199.93023255814,458.673306772908,187.223107569721,325.509146341463,206.661585365854,481.76,190.127272727273,483,183.69111969112,479.989864864865,193.648648648649
337.859116022099,162.243093922652,347.867374005305,152.31299734748,335.555900621118,213.987577639752,351.935416666667,230.925,354.487465181058,211.119777158774,358.044736842105,201.107894736842,352.618181818182,188.716363636364,351.384892086331,175.791366906475,372.928759894459,209.419525065963,330.939153439153,209.222222222222,357.005681818182,209.167613636364,316.907042253521,217.014084507042,381.766055045872,204.979357798165,376.360655737705,192.744262295082,429.386058981233,207.016085790885,378.551912568306,196.224043715847,388.535256410256,188.951923076923,364.684684684685,198.945945945946
167.979328165375,178.206718346253,177.376344086022,167.588709677419,193.496420047733,230.27446300716,209.308580858086,247.587458745875,203.164989939638,229.046277665996,203.561038961039,218.636363636364,195.590551181102,205.561679790026,191.004587155963,191.298165137615,222.004587155963,227.846330275229,177.193211488251,223.895561357702,203.158024691358,223.787654320988,185.035190615836,224.645161290323,231.167108753316,215.949602122016,217.134246575342,205.52602739726,188.461764705882,208.917647058824,241.11,206.34,239.301630434783,199.570652173913,237.607476635514,206.791277258567
404.686192468619,218.278242677824,420.654811715481,208.276150627615,436.085393258427,264.950561797753,170.5,276,449.216216216216,261.936936936937,448.557422969188,253.649859943978,439.472972972973,241.891891891892,436,229.61661341853,464.164810690423,260.478841870824,420.664804469274,263.533519553073,448.185990338164,262.975845410628,425.046464646465,272.880808080808,475.614583333333,260.596354166667,461.490853658537,247.780487804878,428.041994750656,267.650918635171,482.578787878788,250.675757575758,483.580536912752,244.597315436242,480.061971830986,254.138028169014
243.863731656184,233.878406708595,258.425051334702,222.866529774127,300.984962406015,281.418546365915,450.664233576642,280.944525547445,308.484261501211,279.610169491525,294.597014925373,271.191542288557,282.935400516796,259.263565891473,275.15503875969,245.782945736434,316.536159600998,279.27680798005,270.616071428571,277.758928571429,297.244541484716,277.733624454148,297.987951807229,280.495983935743,329.639308855292,271.224622030238,302.071599045346,261.229116945107,290.428571428571,269.414078674948,348.5,261.175531914894,337.547738693467,255.293969849246,358.392592592593,262.182716049383
170.695198329854,240.286012526096,181.320788530466,229.370967741935,198.380510440835,292.2343387471,320.620253164557,295.643037974684,212.176328502415,290.925120772947,214.982428115016,277.507987220447,201.535294117647,267.332352941176,195.580536912752,252.597315436242,224.858870967742,289.264112903226,182.578804347826,285.380434782609,208.711409395973,285.398210290828,187.007352941176,286.529411764706,234.224489795918,277.888888888889,219.699248120301,267.002506265664,186.551122194514,270.957605985037,241.884353741497,268.294784580499,243.584848484848,261.675757575758,238.712328767123,268.321917808219
