0.9989,-7.9855e-05,-0.046821,4.502
-0.001995,-0.99916,-0.040858,57.72
-0.046779,0.040907,-0.99807,-6.283
0,0,0,1
0.99893,0.00014492,-0.046199,2.2339
-0.0014118,-0.99943,-0.033661,60.128
-0.046177,0.033691,-0.99836,-5.8304
0,0,0,1
0.99902,0.00069377,-0.044186,0.73301
-0.0016038,-0.99865,-0.05194,61.006
-0.044162,0.05196,-0.99767,-7.0473
0,0,0,1
0.99507,0.0030946,-0.099118,3.9285
0.0005488,-0.99967,-0.025702,63.952
-0.099165,0.025521,-0.99474,-4.3045
0,0,0,1
0.99496,0.00011104,-0.10028,3.2518
-0.00084829,-0.99995,-0.0095238,65.278
-0.10028,0.0095609,-0.99491,-3.2033
0,0,0,1
0.99493,0.00082432,-0.10055,2.3942
-0.00046545,-0.99992,-0.012803,66.069
-0.10055,0.012785,-0.99485,-3.3852
0,0,0,1
0.9949,0.0016298,-0.1009,0.76389
-6.5009e-05,-0.99986,-0.016791,67.299
-0.10091,0.016712,-0.99476,-3.536
0,0,0,1
0.99088,0.0051709,-0.13466,2.4938
0.0022221,-0.99975,-0.022039,68.724
-0.13474,0.021538,-0.99065,-3.0872
0,0,0,1
0.99077,0.0015371,-0.13556,2.477
0.001633,-1,0.00059565,61.95
-0.13556,-0.00081152,-0.99077,-1.4408
0,0,0,1
0.99084,0.0018869,-0.13502,1.6211
0.0019686,-1,0.00047182,62.782
-0.13502,-0.0007333,-0.99084,-1.4453
0,0,0,1
0.99128,0.0039506,-0.13169,-0.70943
0.0029756,-0.99997,-0.0075998,64.643
-0.13172,0.0071417,-0.99126,-1.7721
0,0,0,1
0.98571,-0.0034172,-0.16842,2.0578
0.0023571,-0.99942,0.034073,66.66
-0.16844,-0.033983,-0.98513,1.8964
0,0,0,1
0.98602,0.00013912,-0.16664,-0.41862
0.0034362,-0.9998,0.019497,67.024
-0.16661,-0.019797,-0.98582,1.2511
0,0,0,1
0.97954,-0.005169,-0.20119,1.2262
0.003676,-0.99904,0.043566,61.612
-0.20122,-0.043415,-0.97858,3.7895
0,0,0,1
0.97973,-0.0028489,-0.20031,-0.33608
0.0043538,-0.99936,0.035508,61.418
-0.20028,-0.03566,-0.97909,3.5347
0,0,0,1
0.98073,0.00027384,-0.19536,-1.8052
0.0059253,-0.99958,0.028344,61.207
-0.19527,-0.028955,-0.98032,3.2608
0,0,0,1
0.97575,-0.0074001,-0.21878,0.58535
0.0043423,-0.99858,0.053141,61.732
-0.21887,-0.052803,-0.97433,5.2333
0,0,0,1
0.9763,-0.0028513,-0.21639,-1.0207
0.0056636,-0.99923,0.038718,61.469
-0.21634,-0.039026,-0.97554,4.5896
0,0,0,1
0.97298,-0.012004,-0.23059,0.11154
0.0080587,-0.99627,0.085866,62.329
-0.23076,-0.085404,-0.96925,8.1744
0,0,0,1
0.968,-0.014418,-0.25054,0.99427
0.0070842,-0.99638,0.084709,62.183
-0.25086,-0.083773,-0.96439,8.6302
0,0,0,1
0.96797,-0.0081908,-0.25095,-0.69474
0.0067663,-0.99825,0.058683,61.791
-0.25099,-0.058501,-0.96622,7.4532
0,0,0,1
0.96344,-0.010577,-0.26773,-1.1806
0.0075236,-0.99776,0.066492,61.944
-0.26783,-0.066075,-0.9612,8.9277
0,0,0,1
0.96348,-0.016173,-0.26731,0.014369
0.0046023,-0.99703,0.076913,64.583
-0.26776,-0.075334,-0.96054,9.4136
0,0,0,1
0.96846,-0.010146,-0.24896,-0.66025
0.003223,-0.99858,0.053233,64.711
-0.24915,-0.052356,-0.96705,7.0621
0,0,0,1
0.97229,-0.011919,-0.23347,0.55049
0.00038962,-0.99862,0.052604,65.084
-0.23377,-0.051237,-0.97094,5.9369
0,0,0,1
0.97656,-0.0081065,-0.21507,0.1309
-0.0014278,-0.99951,0.031191,65.056
-0.21522,-0.030153,-0.9761,3.7951
0,0,0,1
0.98131,-0.003315,-0.19243,-0.42863
-0.0034984,-0.99999,-0.00061376,64.967
-0.19242,0.0012755,-0.98131,0.8476
